Call ID,Received DtTm,Neighborhood District,Lat,Lon,Call Type
18,2023-01-01 00:00:31,Tenderloin,37.7855029033652,-122.414807788747,Medical Incident
10,2023-01-01 00:01:02,South of Market,37.7811458612596,-122.409026046516,Medical Incident
13,2023-01-01 00:06:17,Outer Mission,37.7223751280095,-122.440541272963,Medical Incident
15,2023-01-01 00:08:33,Tenderloin,37.7830549681708,-122.411577299279,Structure Fire
5,2023-01-01 00:09:57,Inner Sunset,37.7534059233731,-122.474200813611,Alarms
9,2023-01-01 00:17:37,Inner Sunset,37.7579474132621,-122.462145213369,Medical Incident
12,2023-01-01 00:18:55,Financial District/South Beach,37.7851251468157,-122.404965960872,Medical Incident
16,2023-01-01 00:20:55,Tenderloin,37.7865659835783,-122.418178854944,Alarms
8,2023-01-01 00:23:41,Noe Valley,37.7513037332512,-122.434089515984,Medical Incident
20,2023-01-01 00:26:52,West of Twin Peaks,37.7234296370586,-122.453582402345,Medical Incident
11,2023-01-01 00:27:12,South of Market,37.7831757914875,-122.399603541822,Medical Incident
14,2023-01-01 00:29:28,Mission,37.76425158706,-122.411330180595,Medical Incident
3,2023-01-01 00:31:06,Mission,37.7627436601147,-122.421747650463,Medical Incident
21,2023-01-01 00:32:25,Seacliff,37.7866682483222,-122.483103396659,Alarms
7,2023-01-01 00:37:34,Nob Hill,37.788955611099,-122.417825829364,Vehicle Fire
6,2023-01-01 00:46:51,Bernal Heights,37.742261383285,-122.421964745809,Medical Incident
4,2023-01-01 00:48:50,Sunset/Parkside,37.7429942454276,-122.498185928463,Alarms
17,2023-01-01 00:50:28,Chinatown,37.7963970008301,-122.411316466798,Vehicle Fire
0,2023-01-01 00:50:29,Marina,37.8044775553238,-122.444614636594,Alarms
19,2023-01-01 00:51:07,Inner Richmond,37.7829097341257,-122.463883782905,Medical Incident
1,2023-01-01 00:52:56,Bayview Hunters Point,37.725881170284,-122.392457448025,Medical Incident
2,2023-01-01 00:55:25,Nob Hill,37.7909306094565,-122.409788680324,Medical Incident
22,2023-01-01 01:01:31,South of Market,37.7776242389287,-122.39998111124,Alarms
47,2023-01-01 01:03:33,Tenderloin,37.7849161843633,-122.411950042222,Medical Incident
39,2023-01-01 01:05:01,Haight Ashbury,37.7714794846228,-122.435372980594,Structure Fire
38,2023-01-01 01:05:13,Outer Mission,37.7229665717171,-122.44474662479,Alarms
34,2023-01-01 01:06:44,Mission,37.7697208630457,-122.417949217834,Medical Incident
43,2023-01-01 01:09:54,Excelsior,37.728489442639,-122.429995375728,Structure Fire
23,2023-01-01 01:14:33,Treasure Island,37.8293003224722,-122.377152280626,Medical Incident
26,2023-01-01 01:17:54,Presidio Heights,37.7846676172717,-122.443995998489,Citizen Assist / Service Call
33,2023-01-01 01:18:36,Financial District/South Beach,37.7928236509312,-122.397034190089,Medical Incident
41,2023-01-01 01:23:04,Sunset/Parkside,37.7439803947416,-122.475835562635,Medical Incident
37,2023-01-01 01:26:16,Financial District/South Beach,37.7910166481298,-122.399148598133,Medical Incident
30,2023-01-01 01:34:08,Visitacion Valley,37.7144925294264,-122.414335003601,Medical Incident
28,2023-01-01 01:37:37,South of Market,37.7822305756448,-122.410292026777,Medical Incident
27,2023-01-01 01:43:20,Tenderloin,37.7862598612958,-122.41727960137,Alarms
46,2023-01-01 01:46:40,South of Market,37.7752488388293,-122.410287728099,Medical Incident
44,2023-01-01 01:47:43,Visitacion Valley,37.7107672954351,-122.417678812123,Traffic Collision
40,2023-01-01 01:47:56,Pacific Heights,37.7893802958939,-122.433865027246,Medical Incident
36,2023-01-01 01:48:10,Tenderloin,37.7825474000421,-122.412247935495,Medical Incident
24,2023-01-01 01:48:39,Pacific Heights,37.7859341652244,-122.438231787767,Structure Fire
42,2023-01-01 01:48:47,South of Market,37.7832878520296,-122.408952160052,Structure Fire
35,2023-01-01 01:48:54,Tenderloin,37.7870650508608,-122.417619474069,Medical Incident
25,2023-01-01 01:50:19,Nob Hill,37.7921746447197,-122.4226941645,Structure Fire
29,2023-01-01 01:51:05,Hayes Valley,37.7734563328786,-122.421591110968,Structure Fire
45,2023-01-01 01:52:10,Bayview Hunters Point,37.7331034788148,-122.38604554171,Outside Fire
32,2023-01-01 01:57:24,Mission,37.7636369573177,-122.422805752252,Structure Fire
31,2023-01-01 01:59:31,Marina,37.8008030512791,-122.43448682618,Traffic Collision
69,2023-01-01 02:01:48,Sunset/Parkside,37.7542240845379,-122.47808592421,Structure Fire
57,2023-01-01 02:04:19,Mission,37.7595614667718,-122.417018134108,Traffic Collision
50,2023-01-01 02:05:22,Lone Mountain/USF,37.7783874594594,-122.449334044009,Alarms
54,2023-01-01 02:05:34,Treasure Island,37.8222647104202,-122.368044134136,Medical Incident
62,2023-01-01 02:06:03,Russian Hill,37.8050697823361,-122.416976744235,Structure Fire
55,2023-01-01 02:08:49,Inner Sunset,37.7600909808627,-122.462885984723,Medical Incident
67,2023-01-01 02:09:34,Financial District/South Beach,37.7852197348475,-122.406674658987,Alarms
56,2023-01-01 02:10:27,Inner Richmond,37.7844395880636,-122.459158221689,Medical Incident
63,2023-01-01 02:12:22,Outer Richmond,37.7849037762258,-122.483006489393,Medical Incident
58,2023-01-01 02:13:37,Nob Hill,37.7874037664371,-122.415827994726,Medical Incident
48,2023-01-01 02:19:02,Financial District/South Beach,37.7910498079932,-122.397526111294,Medical Incident
53,2023-01-01 02:19:03,Bayview Hunters Point,37.7325070966122,-122.384396871119,Medical Incident
66,2023-01-01 02:20:10,Western Addition,37.7800421538713,-122.428635981835,Medical Incident
52,2023-01-01 02:21:50,Sunset/Parkside,37.7380367680131,-122.505935943233,Other
61,2023-01-01 02:25:46,South of Market,37.7776242389287,-122.39998111124,Structure Fire
65,2023-01-01 02:29:29,Russian Hill,37.7992363175454,-122.422362735121,Traffic Collision
68,2023-01-01 02:33:47,West of Twin Peaks,37.7477565317249,-122.475021191856,Other
60,2023-01-01 02:38:00,Financial District/South Beach,37.7929530870311,-122.401531075315,Medical Incident
59,2023-01-01 02:44:06,Financial District/South Beach,37.7922511619052,-122.407518951828,Administrative
49,2023-01-01 02:45:01,Nob Hill,37.788940782957,-122.420285729368,Medical Incident
70,2023-01-01 02:45:34,South of Market,37.7777124404316,-122.412736707425,Medical Incident
71,2023-01-01 02:57:00,Chinatown,37.7978646128064,-122.406667932419,Medical Incident
64,2023-01-01 02:59:09,Japantown,37.7833263288474,-122.44032487616,Medical Incident
51,2023-01-01 02:59:54,Bayview Hunters Point,37.7375328712716,-122.389598543699,Medical Incident
76,2023-01-01 03:07:14,South of Market,37.7811458612596,-122.409026046516,Structure Fire
80,2023-01-01 03:07:34,Tenderloin,37.7825850332809,-122.415693872109,Medical Incident
77,2023-01-01 03:17:48,Tenderloin,37.7833862379382,-122.409853729941,Medical Incident
72,2023-01-01 03:18:53,Western Addition,37.7832767200998,-122.428138545877,Medical Incident
81,2023-01-01 03:25:30,Western Addition,37.7826339083037,-122.429925971077,Medical Incident
82,2023-01-01 03:29:34,Lakeshore,37.7269907019127,-122.474900344293,Alarms
87,2023-01-01 03:32:10,Financial District/South Beach,37.7933796204253,-122.398184018556,Medical Incident
73,2023-01-01 03:38:14,Marina,37.7965117112756,-122.439589613229,Medical Incident
88,2023-01-01 03:42:21,Tenderloin,37.7788323158792,-122.415642487855,Alarms
85,2023-01-01 03:48:56,South of Market,37.7817543267261,-122.409693263148,Structure Fire
75,2023-01-01 03:49:51,Marina,37.8005603246335,-122.438707766533,Traffic Collision
86,2023-01-01 03:49:53,Nob Hill,37.7883371399086,-122.416017227839,Outside Fire
79,2023-01-01 03:52:37,Potrero Hill,37.7539279404747,-122.401597623185,Medical Incident
74,2023-01-01 03:54:15,South of Market,37.7754785492962,-122.415745332716,Medical Incident
78,2023-01-01 03:54:21,Portola,37.7208862507817,-122.410566515302,Medical Incident
83,2023-01-01 03:55:29,Tenderloin,37.7818654473304,-122.414285346421,Medical Incident
84,2023-01-01 03:58:57,Inner Sunset,37.763247335315,-122.4523847829,Medical Incident
94,2023-01-01 04:15:09,South of Market,37.7774938436091,-122.41629170277,Medical Incident
99,2023-01-01 04:15:56,Bernal Heights,37.7415331470072,-122.41789101097,Medical Incident
97,2023-01-01 04:18:05,Pacific Heights,37.7851959510121,-122.440715841453,Outside Fire
95,2023-01-01 04:20:10,South of Market,37.7747750238121,-122.411341676645,Medical Incident
96,2023-01-01 04:21:26,Tenderloin,37.7843455364627,-122.407785146121,Medical Incident
90,2023-01-01 04:29:31,Nob Hill,37.7891101748937,-122.417016879226,Medical Incident
92,2023-01-01 04:33:31,Tenderloin,37.7820730668609,-122.412220736854,Medical Incident
89,2023-01-01 04:33:49,Bayview Hunters Point,37.7323435109332,-122.388141018741,Structure Fire
91,2023-01-01 04:37:41,Pacific Heights,37.7950545006064,-122.429177912873,Medical Incident
93,2023-01-01 04:43:17,Mission,37.7497020110556,-122.420499334167,Structure Fire
98,2023-01-01 04:47:14,Mission Bay,37.7679924471876,-122.394391507395,Alarms
100,2023-01-01 04:50:59,Marina,37.7994131607449,-122.438492113191,Traffic Collision
105,2023-01-01 05:01:25,Bernal Heights,37.7412420606904,-122.409129256568,Medical Incident
110,2023-01-01 05:02:37,South of Market,37.7811458612596,-122.409026046516,Medical Incident
107,2023-01-01 05:02:58,South of Market,37.7841058563108,-122.401539484586,Structure Fire
112,2023-01-01 05:06:30,Tenderloin,37.7852329971738,-122.410329588144,Structure Fire
106,2023-01-01 05:06:52,Bayview Hunters Point,37.7525446846438,-122.392639386565,Structure Fire
114,2023-01-01 05:07:04,South of Market,37.7824182864419,-122.403869611535,Structure Fire
102,2023-01-01 05:14:17,Mission,37.7571666434801,-122.416719595074,Medical Incident
103,2023-01-01 05:27:10,Sunset/Parkside,37.7419314290573,-122.479843626378,Structure Fire
111,2023-01-01 05:27:36,Chinatown,37.7946419086629,-122.401377352704,Water Rescue
101,2023-01-01 05:30:15,Western Addition,37.7814283698384,-122.432328983123,Structure Fire
115,2023-01-01 05:40:08,Oceanview/Merced/Ingleside,37.7113251139189,-122.460533946078,Medical Incident
116,2023-01-01 05:47:12,Western Addition,37.7823890366544,-122.435974644248,Medical Incident
113,2023-01-01 05:52:22,Tenderloin,37.7779246419176,-122.418936072128,Structure Fire
104,2023-01-01 05:52:54,Tenderloin,37.78373004094,-122.413753670487,Medical Incident
108,2023-01-01 05:53:43,Lakeshore,37.7166731170808,-122.474173685372,Traffic Collision
109,2023-01-01 05:53:46,Mission,37.7642361189447,-122.419659842408,Medical Incident
117,2023-01-01 06:04:47,South of Market,37.7822305756448,-122.410292026777,Other
118,2023-01-01 06:08:05,Tenderloin,37.7779246419176,-122.418936072128,Alarms
123,2023-01-01 06:19:09,Bayview Hunters Point,37.718141621836,-122.398338616851,Medical Incident
119,2023-01-01 06:20:20,Tenderloin,37.7817615940745,-122.411058175414,Water Rescue
121,2023-01-01 06:27:11,North Beach,37.8069201392161,-122.407170160416,Alarms
